Ballotpedia Person ID,Name,Twitter ID,ASD Override,Category,Account Type,Product,Validated,Facebook ID,Youtube,Instagram ID,Rumble,Telegram,TikTok ID,Column1,Verified
,iranembberlin,iranembberlin,,Iran,Diplomatic/Government,Hamilton,TRUE,iranembberlin,,,,,,,
,IranembinRussia,iranembinrussia,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,IranEmbinRussia,,,
,iraninalgeria,iraninalgeria,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinALMATY,iraninalmaty,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninArgentina,iraninargentina,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninastrakhan,iraninastrakhan,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninAustralia,iraninaustralia,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninAustria,iraninaustria,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,IRANinAustria,,,
,iraninbaku,iraninbaku,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninBatumi,iraninbatumi,,Iran,Diplomatic/Government,Hamilton,TRUE,iraninbatumi,,iraninbatumi20,,IRANinBATUMI,,,
,IRANinBELARUS,iraninbelarus,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iran.embassy.minsk,,,,,
,IraninBerlin,iraninberlin,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninBern,iraninbern,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,iraninbern,,,
,IRANinBiH,iraninbih,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iranembassybih,,,,,
,IRANinBishkek,iraninbishkek,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iranembassybishkek,,,,,
,IraninBolivia,iraninbolivia,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iraninbolivia,,,,,
,IraninBrazil,iraninbrazil,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinBRUNEI,iraninbrunei,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iran_brunei,,,,,
,IraninBulgaria,iraninbulgaria,,Iran,Diplomatic/Government,Hamilton,TRUE,iraninbulgaria,,,,iranembassysofia,,,
,IraninChile,iraninchile,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninChina,iraninchina,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninci,iraninci,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninColombia,iranincolombia,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinCROATIA,iranincroatia,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iranincroatia,,IRANinCROATIA,,,
,IraninCuba,iranincuba,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iranincuba,,,,,
,IraninCyprus,iranincyprus,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinCZECH,iraninczech,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninDamascus,iranindamascus,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninDemascus,iranindemascus,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinDENMARK,iranindenmark,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,IRANinDENMARK,,,
,IraninDhaka,iranindhaka,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinDPRKorea,iranindprkorea,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IranInDRCongo,iranindrcongo,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,IranInDRC,,,
,iranindubai,iranindubai,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinEGYPT,iraninegypt,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinERBIL,iraninerbil,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,IRANinERBIL_ECO,,,
,IraninErzurum,iraninerzurum,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinETHIOPIA,iraninethiopia,,Iran,Diplomatic/Government,Hamilton,TRUE,EmbassyofIraninEthiopia,,,,Iranembassyaddisabeba,,,
,Iraninfinland,iraninfinland,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinFRANCE,iraninfrance,,Iran,Diplomatic/Government,Hamilton,TRUE,Ambassade%20d'Iran%20en%20France,,,,IRANinFRANCEmedia,,,
,Iraninfrankfurt,iraninfrankfurt,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninGeorgia,iraningeorgia,,Iran,Diplomatic/Government,Hamilton,TRUE,iraningeorgia,,iran.embassy.georgia,,iranembassytbilisi,,,
,Iraninghana,iraninghana,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinGREECE,iraningreece,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iraningreece,,,,,
,IraninHerat,iraninherat,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Iran in HK,iraninhk,,Iran,Diplomatic/Government,Hamilton,TRUE,IRANinHK,,iraninhk,,IRANinHK,,,
,IRANinHongKong,iraninhongkong,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinHUNGARY,iraninhungary,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninHyderabad,iraninhyderabad,,Iran,Diplomatic/Government,Hamilton,TRUE,iraninhyderabad,,iran.hyderabad,,IraninHyderabad,,,
,IraninIndonesia,iraninindonesia,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iraninindonesia,,,,,
,IraninIslamabad,iraninislamabad,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iranembassy_islamabad,,,,,
,iraninitaly,iraninitaly,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinJALALABAD,iraninjalalabad,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninJapan,iraninjapan,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Iraninjordan,iraninjordan,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinKabul,iraninkabul,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,iraninkabul,,,
,IraninKarachi,iraninkarachi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinKAZAKHSTA,iraninkazakhsta,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iraninkazakhstan,,,,,
,IraninKenya,iraninkenya,,Iran,Diplomatic/Government,Hamilton,TRUE,Iran.Kenya,,,,,,,
,IRANinKUWAIT,iraninkuwait,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninlahore,iraninlahore,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninmalaysia,iraninmalaysia,,Iran,Diplomatic/Government,Hamilton,TRUE,IranEmb.kl,,iran.embassy.kl,,,,,
,IraninMali,iraninmali,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinMAURITANI,iraninmauritani,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinMAZAR,iraninmazar,,Iran,Diplomatic/Government,Hamilton,TRUE,iraninmazar,,,,,,,
,IraninMexico,iraninmexico,,Iran,Diplomatic/Government,Hamilton,TRUE,iraninmexico,,iraninmexico,,,,,
,IraninMi,iraninmi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninMilan,iraninmilan,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninmumbai,iraninmumbai,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninmuscat,iraninmuscat,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,iranembassyoman,,,
,Iran in Namibia,iraninnamibia,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iraninnamibia,,,,,
,IRANinNAXCIVAN,iraninnaxcivan,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninNiger,iraninniger,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Iraninnigeria,iraninnigeria,,Iran,Diplomatic/Government,Hamilton,TRUE,,,irannigeria,,,,,
,IRANinNorway,iraninnorway,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninPeshawar,iraninpeshawar,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Iraninph,iraninph,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinPOLAND,iraninpoland,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninPortugal,iraninportugal,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Iraninqatar,iraninqatar,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinROMANIA,iraninromania,,Iran,Diplomatic/Government,Hamilton,TRUE,iranembro,,,,,,,
,IRANinRUSSIA,iraninrussia,,Iran,Diplomatic/Government,Hamilton,TRUE,iraninrussia,,iraninrussia,,IRANinRUSSIA,,,
,IraninSA,iraninsa,,Iran,Diplomatic/Government,Hamilton,TRUE,iraninsa,,iraninsa,,,,,
,IRANinSENEGAL,iraninsenegal,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Iraninserbia,iraninserbia,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninSGP,iraninsgp,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninSKorea,iraninskorea,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,IranEmbassySeoul,,,
,IRANinSLOVENIA,iraninslovenia,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninSpain,iraninspain,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninSriLanka,iraninsrilanka,,Iran,Diplomatic/Government,Hamilton,TRUE,IRANinSriLanka,,iran.embassy.srilanka,,,,,
,IRANinsuleymani,iraninsuleymani,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinSWEDEN,iraninsweden,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninThailand,iraninthailand,,Iran,Diplomatic/Government,Hamilton,TRUE,IranInTh,,iraninthailand,,,,,
,IRANinTirana,iranintirana,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinTJ,iranintj,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinTRABZON,iranintrabzon,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Iranintunisia,iranintunisia,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinUAE,iraninuae,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iranembassyuae,,,,,
,IRANinUGANDA,iraninuganda,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IraninUkraine,iraninukraine,,Iran,Diplomatic/Government,Hamilton,TRUE,IranembinUkraine,,iranembassyinukraine,,Iranembassyukraine,,,
,IraninUruguay,iraninuruguay,,Iran,Diplomatic/Government,Hamilton,TRUE,IRANinURUGUAY,,iraninuruguay,,,,,
,IraninVatican,iraninvatican,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Iran in Vietnam,iraninvietnam,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninyerevan,iraninyerevan,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinZAGREB,iraninzagreb,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANinZIMBABWE,iraninzimbabwe,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iranembassyzimbabwe,,,,,
,Iran embassy Kazakhstan,irankazakhstan,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iraninkazakhstan,,,,,
,IranKazan1,irankazan1,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,irankultur_ist,irankultur_ist,,Iran,Diplomatic/Government,Hamilton,TRUE,,,irankulturistanbul,,,,,
,irankulturevitr,irankulturevitr,,Iran,Diplomatic/Government,Hamilton,TRUE,ortakultur,,irankulturevitr,,irankulturevi,,,
,iranmanagua,iranmanagua,,Iran,Diplomatic/Government,Hamilton,TRUE,,,iranmanagua,,,,,
,IranmissionEU,iranmissioneu,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IranNairobi,irannairobi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IranNigeria,irannigeria,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iranpress_news,iranpress_news,,Iran,Media,Hamilton,TRUE,,UCCsnUQhsdfEyRBeMFqY9YrQ,iranpressnewsagency,,iranpress_com,,,
,irdenglish,irdenglish,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRDiplomacy,irdiplomacy,,Iran,Diplomatic/Government,Hamilton,TRUE,,,irdiplomacy.ir,,,,,
,iribnewsEn,iribnewsen,,Iran,Media,Hamilton,TRUE,IR.IRAN.Broadcasting,,iribnews.ir,,iribnews,,,
,IRIMFA,irimfa,,Iran,Diplomatic/Government,Hamilton,TRUE,108174512568120,,iranmfa,,,,,
,IRIMFA_AR,irimfa_ar,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRIMFA_EN,irimfa_en,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRNA_1313,irna_1313,,Iran,Media,Hamilton,TRUE,,UCuvkxHgz58YMq5rM7_BgOCA,irnakb,,irna_1313,,,
,irna_arabic,irimfa,,Iran,Media,Hamilton,TRUE,,,,,Irna_ar,,,
,irna_es,irna_es,,Iran,Media,Hamilton,TRUE,,,irna_espanol,,Irna_es,,,
,irna_german,irna_german,,Iran,Media,Hamilton,TRUE,,,,,Irna_de,,,
,Irna_Turkish,irna_turkish,,Iran,Media,Hamilton,TRUE,,,irna_turkish,,Irna_tr,,,
,IRNA24MEDIA,irna24media,,Iran,Media,Hamilton,TRUE,,,,,Irna24_archive,,,
,IrnaEnglish,irnaenglish,,Iran,Media,Hamilton,TRUE,en.irna.ir,,en.irna.ir,,Irna_en,,,
,irnarussian,irnarussian,,Iran,Media,Hamilton,TRUE,,,,,Irna_ru,,,
,IRNAUK,irnauk,,Iran,Media,Hamilton,TRUE,,,,,,,,
,IRNAURDU1,irnaurdu1,,Iran,Media,Hamilton,TRUE,,,,,irna_ur,,,
,isna_farsi,isna_farsi,,Iran,Media,Hamilton,TRUE,,UCi7-9HJBWz9yHuLuoY0B5Ng,isna.news,,isna94,,,
,Isna_Int,isna_int,,Iran,Media,Hamilton,TRUE,Iranian-Students-News-Agency-ISNA-100069501397520,,,,,,,
,ISNAMEDIA,isnamedia,,Iran,Media,Hamilton,TRUE,,,,,isnamediaa,,,
,it_Khamenei,it_khamenei,,Iran,Diplomatic/Government,Hamilton,TRUE,Khamenei.it,,khamenei.it,,Khamenei_it,,,
,JBarmaki,jbarmaki,,Iran,Diplomatic/Government,Hamilton,TRUE,,,jbarmaki,,,,,
,jebhepaydari_ir,jebhepaydari_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,jebhepaydari_ir,,jebhepaydari_ir,,,
,JZarif,jzarif,,Iran,Diplomatic/Government,Hamilton,TRUE,jzarif,,jzarif_ir,,,,,
,Kadkhodaee_ir,kadkhodaee_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,kadkhodaee_ir,,,,,
,KayhannewsAr,kayhannewsar,,Iran,Media,Hamilton,TRUE,,,,,,,,
,KayhannewsEn,kayhannewsen,,Iran,Media,Hamilton,TRUE,,,,,,,,
,KayhanNewsFa,kayhannewsfa,,Iran,Media,Hamilton,TRUE,,UCHMB9bAL4PvMmK_fklET4rA,kayhan.newspaper,,,,,
,keshavarzzadeh,keshavarzzadeh,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,KhabarOnlineEN,khabaronlineen,,Iran,Media,Hamilton,TRUE,Khabar-Online-EN-100072325630867,,khabaronline_en,,,,,
,Khamenei_fa,khamenei_fa,,Iran,Diplomatic/Government,Hamilton,TRUE,,,khamenei.f,,,,,
,Khamenei_Fra,khamenei_fra,,Iran,Diplomatic/Government,Hamilton,TRUE,,,khamenei_france,,fr_Khamenei,,,
,khamenei_ir,khamenei_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,khamenei_ir,,,,,
,Khamenei English We,khamenei_m,,Iran,Diplomatic/Government,Hamilton,TRUE,en.khamenei,,,,Khamenei_en,,,
,Khamenei_tv,khamenei_tv,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,khameneihistory,khameneihistory,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,khameneireyhane,khameneireyhane,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Khameneiru,khameneiru,,Iran,Diplomatic/Government,Hamilton,TRUE,Khamenei.ru,,ru.khamenei.ir,,Khamenei_ru,,,
,Kiaei,kiaei,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Letter4u_ir,letter4u_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,letter4u_ir,,letter4u_ir,,,
,m_alibak,m_alibak,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Mahdiibakhtiari,mahdiibakhtiari,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Majlis_ir,majlis_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,majmatashkhis,,,Iran,Diplomatic/Government,Hamilton,TRUE,,,majma_tashkhis,,,,,
,mb_ghalibaf,mb_ghalibaf,,Iran,Diplomatic/Government,Hamilton,TRUE,,,mb_ghalibaf,,ghalibaf_official,,,
,MB_nobakht,mb_nobakht,,Iran,Diplomatic/Government,Hamilton,TRUE,,,mb_nobakht,,mb_nobakht,,,
,MehrnewsCom,mehrnewscom,,Iran,Media,Hamilton,TRUE,MehrnewsCom,,mehrnews_com,,mehrnews,,,
,mfnews_ir,mfnews_ir,,Iran,Media,Hamilton,TRUE,,,,,mfnews_ir,,,
,MhdFarazmand,mhdfarazmand,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,miryousefi,miryousefi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,MizanNewsAgency,mizannewsagency,,Iran,Media,Hamilton,TRUE,,,mizan_news,,,,,
,mnomoradi,mnomoradi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
