embassy,site,title,link,snippet
China Consulate to Cambodia in Sihanoukville,facebook.com,Chinese Embassy in Cambodia-中华人民共和国驻柬埔寨 ...,https://www.facebook.com/ChineseEmbassyCambodia/?locale=lv_LV,"Chinese Embassy in Cambodia-中华人民共和国驻柬埔寨王国大使馆, រាជធានី​ភ្នំពេញ. 71 697 cilvēkiem patīk · 302 runā par šo · Šeit ir bijuši 19 ..."
China Consulate to Cambodia in Sihanoukville,facebook.com,China will open a consulate in... - Beautiful Shandong,https://www.facebook.com/ShandongprovinceChina/posts/china-will-open-a-consulate-in-sihanoukville-while-cambodia-will-set-up-a-consul/1569141476582285/,"China will open a consulate in Sihanoukville, while Cambodia will set up a consulate general in Jinan, the capital city of #Shandong ..."
China Consulate to Cambodia in Sihanoukville,facebook.com,Connecting the Cambodian capital of Phnom Penh to the ...,https://www.facebook.com/ChineseEmbassyCambodia/videos/connecting-the-cambodian-capital-of-phnom-penh-to-the-international-deep-sea-por/1071877020168512/,"Connecting the Cambodian capital of Phnom Penh to the international deep-sea port province of Preah Sihanouk, the Chinese-invested Phnom..."
China Consulate to Cambodia in Sihanoukville,facebook.com,Chinese Embassy in Cambodia-中华人民共和国驻柬埔寨 ...,https://www.facebook.com/ChineseEmbassyCambodia/?locale=en_GB,"Chinese Embassy in Cambodia ... China-Cambodia ... Sihanoukville co- hosted by Chinese and Cambodian organizations attracted around 1,400 participants."
China Consulate to Cambodia in Sihanoukville,facebook.com,"Khmer Times - Cambodia, China to open consulates in...",https://www.facebook.com/khmertimes/posts/cambodia-china-to-open-consulates-in-sihanoukville-and-jinan/3042061219353819/?locale=hi_IN,China will open a consulate in Sihanoukville while C... តា ខាន់ और 59 अन्य लोग.
China Consulate to Cambodia in Sihanoukville,facebook.com,"Khmer Times - Cambodia, China to open consulates in...",https://www.facebook.com/khmertimes/posts/cambodia-china-to-open-consulates-in-sihanoukville-and-jinan/3042061219353819/,China will open a consulate in Sihanoukville while C... តា ខាន់ and 59 others.
China Consulate to Cambodia in Sihanoukville,facebook.com,Two Chinese warships have docked at a commercial port in ...,https://www.facebook.com/Canal.Macau/videos/two-chinese-warships-have-docked-at-a-commercial-port-in-cambodia-ahead-of-joint/1013584690193968/,... Cambodia ahead of joint naval exercises between the two countries. China's ambassador to Cambodia told reporters in Sihanoukville that the ...
China Consulate to Cambodia in Sihanoukville,youtube.com,Chinese Ambassador to Cambodia Confirms China Has No ...,https://www.youtube.com/watch?v=wV-WehsBEzI,"... SIHANOUKVILLE: The Chinese Ambassador to Cambodia, Wang Wentian, has said that China has its own traditions and culture and does not want to ..."
China Consulategeneral to Australia in Adelaide,facebook.com,Consulate-General of China in Adelaide,https://www.facebook.com/cgcadelaide/,"Li Dong, the Consul-General of the People's Republic of China in Adelaide,together with The Premier of South Australia, Mr. Peter Malinauskas, jointly ..."
China Consulategeneral to Australia in Adelaide,facebook.com,Consulate-General of China in Adelaide,https://www.facebook.com/cgcadelaide/?locale=eo_EO,"The ceremony of the 2024 ""Chinese Film Week"" in Australia was held on the 19th in Adelaide, South Australia. During this film week, 8 Chinese films, ..."
China Consulategeneral to Australia in Adelaide,facebook.com,Consulate-General of China in Adelaide,https://www.facebook.com/cgcadelaide/?locale=zh_CN,"Li Dong, the Consul-General of the People's Republic of China in Adelaide,together with The Premier of South Australia, Mr. Peter Malinauskas, jointly ..."
China Consulategeneral to Australia in Adelaide,youtube.com,Heavily fortified Chinese Consulate opens in small Australian ...,https://www.youtube.com/watch?v=fSJVYcFm7k4,Locals living near a newly opened Chinese Consulate in suburban Adelaide are concerned how the highly secure fortress will change their ...
China Consulategeneral to Australia in Adelaide,youtube.com,New Chinese consulate in Adelaide opens with angry protest ...,https://www.youtube.com/watch?v=S4bvuRuMQvw,New Chinese consulate in Adelaide opens with angry protest | ABC News · ABC News (Australia) · Heavily fortified Chinese Consulate opens in small ...
China Consulategeneral to Australia in Adelaide,facebook.com,Consulate-General of China in Adelaide,https://www.facebook.com/cgcadelaide/?locale=ps_AF,"On the grasslands of Ulanqab, Inner Mongolia, stand the remnants of ancient volcanoes. From a distance, these volcanoes rise majestically, their silhouettes ..."
China Consulategeneral to Australia in Adelaide,tiktok.com,"On October 1st, the Chinese Consulate General in Adelaide ...",https://www.tiktok.com/@speakchinesewithshelby/video/7421405885693463816,"On October 1st, the Chinese Consulate General in Adelaide, in collaboration with the South Australian Government, hosted a reception to ..."
China Consulategeneral to Australia in Adelaide,facebook.com,Consulate-General of China in Adelaide's post,https://www.facebook.com/story.php/?story_fbid=824971439685214&id=61550572577103,Chairman of the Board of Governors of the AmCham China: US business community need come to China themselves to better understand China.
China Consulategeneral to Australia in Adelaide,x.com,Chinese Consulate General in Sydney,https://x.com/ChinaConSydney/status/1802272151581429883,Premier Li Qiang said on Sunday that China will loan a new pair of giant pandas to #Australia to continue with the cooperative research on ...
China Consulategeneral to Yemen in Aden,facebook.com,"U.S. Consulate General, Amsterdam",https://www.facebook.com/USConGenAmsterdam/photos/today-our-acting-deputy-chief-of-mission-joined-city-community-leaders-at-a-reme/362034459286181/,"Today, our Acting Deputy Chief of Mission joined city & community leaders at a Remembrance Day ceremony at the Nieuwe Ooster Cemetery in ..."
China Consulategeneral to Yemen in Aden,facebook.com,Khaosod English - Medium-range ballistic missile fired...,https://www.facebook.com/KhaosodEnglish/posts/medium-range-ballistic-missile-fired-into-parade/2622206251131624/,"ADEN, Yemen — A rebel missile struck a military par... Willie ... They safely returned to the Chinese Consulate-General on Saturday afternoon."
China Consulategeneral to Yemen in Aden,facebook.com,Akothee - Back to my hustle with captain Donaldson ...,https://www.facebook.com/photo.php?fbid=2143976989003243&id=630307880370169&set=a.631565126911111&locale=sl_SI,How The Brand Ambassador of Uganda Tourism Madam Esther Akoth Kokeyo HRP arrived at the Magical Kenya Expo. Uganda and kenya are excited to join forces in ...
China Consulategeneral to Yemen in Aden,facebook.com,On this day 25 years ago Freddie Mercury left us - ...,https://www.facebook.com/RussianEmbassy/photos/on-this-day-25-years-ago-freddie-mercury-left-us-loved-and-remembered-by-million/1348252818541868/,"❗️ The tragic and unacceptable developments in the Arab-Israeli conflict, in Yemen, in the waters of the Red Sea and the Gulf of Aden, in ..."
China Consulategeneral to Yemen in Aden,facebook.com,Russian Embassy in London,https://www.facebook.com/RussianEmbassy/?locale=ko_KR,"❗️ The tragic and unacceptable developments in the Arab-Israeli conflict, in Yemen, in the waters of the Red Sea and the Gulf of Aden, in Sudan and in ..."
China Consulategeneral to Yemen in Aden,facebook.com,"MGA PINOY SA CHINA, I-REPATRIATE SA... - Aksyon Radyo Iloilo",https://www.facebook.com/aksyonradyoiloilo720/posts/mga-pinoy-sa-china-i-repatriate-sa-masunod-nga-semana-sa-tunga-sang-coronavirus-/2404197049874565/?locale=af_ZA,"MGA PINOY SA CHINA, I-REPATRIATE SA MASUNOD NGA SEMANA SA TUNGA SANG CORONAVIRUS OUTBREAK By: May Ortega l January 31, 2020, 10:22am via CNN Philippines"
China Consulategeneral to Kazakhstan in Aktobe,facebook.com,Invest Kazakhstan - Шанхайда Қазақстан-Қытай...,https://www.facebook.com/KAZAKHINVEST/posts/%D1%88%D0%B0%D0%BD%D1%85%D0%B0%D0%B9%D0%B4%D0%B0-%D2%9B%D0%B0%D0%B7%D0%B0%D2%9B%D1%81%D1%82%D0%B0%D0%BD-%D2%9B%D1%8B%D1%82%D0%B0%D0%B9-%D0%B8%D0%BD%D0%B2%D0%B5%D1%81%D1%82%D0%B8%D1%86%D0%B8%D1%8F%D0%BB%D1%8B%D2%9B-%D1%81%D0%B5%D0%BC%D0%B8%D0%BD%D0%B0%D1%80%D1%8B-%D3%A9%D1%82%D1%82%D1%96%D2%9B%D0%B0%D0%B7%D0%B0%D2%9B%D1%81%D1%82%D0%B0%D0%BD-%D0%BC%D0%B5%D0%BD-%D2%9B%D1%8B%D1%82%D0%B0%D0%B9-%D0%B0%D1%80%D0%B0%D1%81%D1%8B%D0%BD%D0%B4%D0%B0/1964639277008630/,"Шанхай проведен Казахстанско-китайский инвестиционный семинар, в работе которого приняли участие представители более 20 китайских организаций и компаний."
China Consulategeneral to Kazakhstan in Aktobe,instagram.com,saya kurmanalina（@saya.krm）• Instagram 相片與影片,https://www.instagram.com/saya.krm/?locale=zh_tw&hl=ar,1315 位粉絲、 1359 人追蹤中、 100 則貼文- Instagram 上的saya kurmanalina (@saya.krm)：「 19 | kazakhstan - hong kong | cityu'27 x3 national debate champion ...
China Consulategeneral to Egypt in Alexandria,facebook.com,中国驻亚历山大总领馆 Chinese Consulate General in ...,https://www.facebook.com/ChinaConsulAlex/,"Abdelaziz Konsowa, President of Alexandria University, received Ambassador Yang Yi, Consul General of China in Alexandria, with the aim of discussing ways of ..."
China Consulategeneral to Egypt in Alexandria,facebook.com,中国驻亚历山大总领馆 Chinese Consulate General in ...,https://www.facebook.com/photo.php?fbid=253516149705707&id=107924574264866&set=a.109323440791646,... Chinese Consulate General in Alexandria added a new photo ... Egypt Mostafa Madbouly in Beijing. https://english.news. cn/20240903 ...
China Consulategeneral to Egypt in Alexandria,facebook.com,中国驻亚历山大总领馆 Chinese Consulate General in ...,https://www.facebook.com/ChinaConsulAlex/posts/531408939163571/,中国驻亚历山大总领馆 Chinese Consulate General in Alexandria ... Egypt Mostafa Madbouly in Beijing. https://english.news. cn/20240903 ...
China Consulategeneral to Egypt in Alexandria,facebook.com,Egyptian Ministry of Foreign Affairs,https://www.facebook.com/MFAEgyptEnglish/?locale=ms_MY,"The Foreign Minister discussed the current priorities of Egypt's foreign policy, expressing confidence in the ability of Egypt's distinguished diplomats to ..."
China Consulategeneral to Egypt in Alexandria,instagram.com,CairoScene | #SceneBuzz: EGYPTIANS ARE REPORTED ...,https://www.instagram.com/cairoscene/p/C_csWvYImoV/,For more news from across Egypt and beyond head to www.scenenow.com (link in bio) or download the #SceneNOW app available on iOS and Android.
China Consulategeneral to Egypt in Alexandria,facebook.com,رحلة كونغ فو لشاب مصري A Kungfu trip of an Egyptian young ...,https://www.facebook.com/ChinaConsulAlex/videos/%D8%B1%D8%AD%D9%84%D8%A9-%D9%83%D9%88%D9%86%D8%BA-%D9%81%D9%88-%D9%84%D8%B4%D8%A7%D8%A8-%D9%85%D8%B5%D8%B1%D9%8Aa-kungfu-trip-of-an-egyptian-young-fellow/668248824200514/?locale=hi_IN,中国驻亚历山大总领馆 Chinese Consulate General in Alexandria प्रोफ़ाइल फ़ोटो ... फ़ोटो के बारे में कोई जानकारी नहीं दी गई है. مدرس لغة صينية في مصر / Chinese teacher in ...
China Consulategeneral to Egypt in Alexandria,facebook.com,الصين والدول العربية تتميز الوحدة والثقة وتتقاسم المستقبل ...,https://www.facebook.com/ChinaConsulAlex/videos/%D8%A7%D9%84%D8%B5%D9%8A%D9%86-%D9%88%D8%A7%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%AA%D8%AA%D9%85%D9%8A%D8%B2-%D8%A7%D9%84%D9%88%D8%AD%D8%AF%D8%A9-%D9%88%D8%A7%D9%84%D8%AB%D9%82%D8%A9-%D9%88%D8%AA%D8%AA%D9%82%D8%A7%D8%B3%D9%85-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%A7%D9%84%D9%85%D8%B4%D8%AA%D8%B1%D9%83china-and-arab-/677831746550184/,"الصين والدول العربية تتميز الوحدة والثقة وتتقاسم المستقبل المشترك. China and Arab countries have the characteristics of unity, trust and common future."
China Consulategeneral to Egypt in Alexandria,instagram.com,Instagram,https://www.instagram.com/cscecegypt_ins/p/C32GWqQM1Up/,"... Chinese Consulate General in Alexandria. After learning Chinese, Diaa fell in love with Chinese culture, especially the art of crosstalk."
China Consulategeneral to Kazakhstan in Almaty,instagram.com,chinaconsalmaty - Генконсульство КНР в Алматы,https://www.instagram.com/chinaconsalmaty/,"5312 Followers, 853 Following, 1369 Posts - Генконсульство КНР в Алматы (@chinaconsalmaty) on Instagram: ""☎️87272700221 chinaconsul_alm@mfa.gov.cn"""
China Consulategeneral to Kazakhstan in Almaty,instagram.com,"A Little Dirt Never Hurt The U.S. Consulate General Almaty, ...",https://www.instagram.com/msgduty/p/CvnhCyYNYtI/,"The US Consulate General Almaty, Kazakhstan Marines recently underwent their semi-annual inspection. In celebration of their completion, they decided to go on ..."
China Consulategeneral to Kazakhstan in Almaty,facebook.com,Interview of Ambassador of India to Kazakhstan Dr. T.V. ...,https://www.facebook.com/IndiaInKazakhstan/videos/interview-of-ambassador-of-india-to-kazakhstan-dr-tv-nagendra-prasad-on-qazaqsta/1884550212026158/,"... Kazakhstan ICCR in Kazakhstan Indians in Kazakhstan Indians in Almaty ... India In China, Consulate General of India, Shanghai. India In ..."
China Consulategeneral to Kazakhstan in Almaty,youtube.com,Interviews on China-Europe Railway Express,https://www.youtube.com/playlist?list=PL8fYq3eehhtV8lIJ8033L_fjLLJf7UW0D,"Interviews on China-Europe Railway Express. Live Lingnan. 10 videosLast updated on May 22, 2024."
China Consulategeneral to Kazakhstan in Almaty,x.com,Kazakhstan in Hong Kong,https://x.com/kazinhongkong/status/1796519613813113276,"30 May 2024, the Consulate General of Kazakhstan in Hong Kong and Macao SARs, PRC, jointly with the Almaty Tourism Department, organized a roadshow «Days of ..."
China Consulategeneral to Kazakhstan in Almaty,facebook.com,U.S. Consulate Almaty,https://www.facebook.com/uscgalmaty/,U.S. Consulate General Almaty represents the U.S. government throughout southern Kazakhstan.
China Consulategeneral to Kazakhstan in Almaty,instagram.com,U.S. Consulate General Almaty | Augmented Reality Public Art ...,https://www.instagram.com/p/CAKL_aFDSGr/,"41 likes, 2 comments - uscgalmaty on May 14, 2020: ""Augmented Reality Public Art Workshop ⠀ Today's Go Viral Thursday will be with John Craig Freeman, ..."
China Consulategeneral to Kazakhstan in Almaty,instagram.com,MFA Kazakhstan (@mfa_kz),https://www.instagram.com/mfa_kz/,"31 Kunayev Street, Akmola, Astana, Kazakhstan 010000 ; 2,128 posts ; 15,575 followers ; 2 following ..."
China Consulategeneral to Kazakhstan in Almaty,instagram.com,Kazakh Embassy in the UK (@kazakhembassy_uk),https://www.instagram.com/kazakhembassy_uk/?locale=%E8%8B%8F%E5%B7%9E%E5%A4%96%E5%9B%B4%E6%A8%A1%E7%89%B9%E4%BC%B4%E6%B8%B8%E2%95%90%E9%80%89%E5%A6%B9%E7%BD%91%E5%9D%80zxj3.com%E2%95%90g1mz&hl=en,"The Embassy of the Republic of Kazakhstan in the United Kingdom of Great Britain and Northern Ireland. · Kazakhstan House, 125 Pall Mall, London, United Kingdom ..."
China Consulategeneral to Kazakhstan in Almaty,instagram.com,Consulate General in Hong Kong,https://www.instagram.com/kazconsulate_hongkong/p/C7ohMAINuRB/,"At the opening ceremony of the event, Consul General of the Republic of Kazakhstan Mr. Almas Seitakynov and Head of Almaty Tourism Analytics and ..."
China Consulategeneral to Spain in Barcelona,facebook.com,People mourn Chinese national beaten to death in Barcelona ...,https://www.facebook.com/echinanews/videos/people-mourn-chinese-national-beaten-to-death-in-barcelona/469222926989432/,"People mourn Chinese national who was beaten to death in Barcelona, Spain. The Chinese Consulate- General in Barcelona has urged local police to ..."
China Consulategeneral to Spain in Barcelona,instagram.com,China announced today that citizens of Spain and four other ...,https://www.instagram.com/spanishchamberhk/p/C0Bs-6iv-h9/?locale=de&hl=am-et,"China announced today that citizens of Spain and four other European Union countries, France, Germany, Italy and the Netherlands will not require a visa to ..."
China Consulategeneral to Spain in Barcelona,instagram.com,spaincultureny • Instagram photos and videos,https://www.instagram.com/spaincultureny/,"Cultural Office of the Consulate General of Spain in New York. Escríbenos a newyork@spainculture.us 150 E 58th Street #30, New York, New York 10155"
China Consulategeneral to Spain in Barcelona,instagram.com,spain.china - Fundación Consejo,https://www.instagram.com/spain.china/?locale=id&ref=mrcipage,El Instituto de Turismo de España (Turespaña - @spain) celebró este mes una jornada de formación sobre turismo chino dirigida a profesionales españoles del ...
China Consulategeneral to Spain in Barcelona,facebook.com,SIX LEMON WORLD - International Students Residence ...,https://www.facebook.com/p/SIX-LEMON-WORLD-International-Students-Residence-Barcelona-100066885263048/,"On December 7, 2019 the first Chinese Overseas Games were held for the Chinese community living in Catalonia. This game was organized by the Consulate General ..."
China Consulategeneral to Equatorialguinea in Bata,facebook.com,"Ind... - India in Equatorial Guinea - Embassy of India, Malabo",https://www.facebook.com/photo.php?fbid=1944209059117937&id=1048829675322551&set=a.1335030960035753&locale=es_ES,"Ambassador and Attache (Consular) interacted with Indian diaspora in an open house conducted by Embassy of India, Malabo in the city of Bata, Equatorial Guinea."
China Consulategeneral to Equatorialguinea in Bata,facebook.com,Congratulatory Message on the Occasion of Azadi Ka Amrit ...,https://www.facebook.com/IndiainSanFrancisco/videos/congratulatory-message-on-the-occasion-of-azadi-ka-amrit-mahotsav-amritmahotsav-/195300532651994/,"Curtain Raiser for 10th. International Day of Yoga in S... · 3Days to Go. The Consulate · This year, International Yoga Day 2024 is celebrating ..."
China Consulategeneral to Equatorialguinea in Bata,facebook.com,"India in Equatorial Guinea - Embassy of India, Malabo",https://www.facebook.com/photo.php?fbid=1471011676437680&id=1048829675322551&set=a.1382387061966809&locale=fr_FR,"India in Equatorial Guinea - Embassy of India, Malabo - #ConstitutionDay ... India In China, Consulate General of India, Shanghai. 󱙶. Suivre · India in ..."
China Consulategeneral to Equatorialguinea in Bata,instagram.com,More content,https://www.instagram.com/glagloballogisticsalliance/reel/C91bgs_BHzt/,"Furthermore, a PSS of US$200 per dry container will be applied to shipments from the port of Bata in Equatorial Guinea to worldwide ..."
China Consulategeneral to Equatorialguinea in Bata,tiktok.com,Read Around the World: Bosnia and Herzegovina 🇧🇦,https://www.tiktok.com/@courtneyhenningnovak/video/7366735197213035819,"22.2K Likes, 773 Comments. TikTok video from Courtney Henning Novak (@courtneyhenningnovak): “Discover the captivating novel The Bridge on ..."
China Consulategeneral to Equatorialguinea in Bata,facebook.com,Birth Certificate Pakistan Nadra Birth ...,https://www.facebook.com/BirthCertificatePakistanNadra/?locale=es_LA,Family Registration Certificate (FRC) is required for identifications with your NADRA's record for Embassy use and not required for other legal purposes. Family ...
China Consulategeneral to Equatorialguinea in Bata,facebook.com,Birth Certificate Pakistan Nadra Birth ...,https://www.facebook.com/BirthCertificatePakistanNadra/posts/how-to-make-birth-certificate-in-pakistan-2020-2021-obtaining-nadra-birth-certif/3338636512824147/,This is considered a recognition citizenship certificate of Pakistan which is useful in foreign embassy or consulate in the world.
China Consulategeneral to Equatorialguinea in Bata,facebook.com,Community of Socio-Cultural Association For Initiative & ...,https://www.facebook.com/AsiaPacificUnionKuwaitSyednaElizabethRaniaMedvedev/,"Community of Socio-Cultural Associations for Creativity, Innovation, Initiatives, Global Conflict Resolution, Crisis Management & Capacity Building"
China Consulategeneral to Australia in Brisbane,facebook.com,Chinese Consulate-General in Brisbane,https://www.facebook.com/PRCCGBne/,The Chinese Consulate-General in Brisbane Hosts the Reception Celebrating the 50th Anniversary of the establishment of China-Australia Diplomatic Ties and ...
China Consulategeneral to Australia in Brisbane,facebook.com,Chinese Consulate-General in Brisbane,https://www.facebook.com/PRCCGBne/?locale=lt_LT,Many overseas Chinese in Brisbane promote the economic and trade exchanges. The celebrations of Spring Festival and Brisbane Chinese Festival enrich Brisbane ...
China Consulategeneral to Australia in Brisbane,facebook.com,Chinese Consulate-General in Brisbane,https://www.facebook.com/PRCCGBne/photos/the-chinese-consulate-general-in-brisbane-heldthe-sharing-session-for-past-winne/507724528681417/,"The Chinese Consulate-General in Brisbane held the Sharing Session for Past Winners of the ""When Koala Meets Panda"" China-Australia Friendship ..."
China Consulategeneral to Australia in Brisbane,facebook.com,Foreign Ministry... - Chinese Consulate-General in Brisbane,https://www.facebook.com/story.php/?story_fbid=447445521375985&id=100083316229573,"China has lowered the threshold for inbound travelers, allowing more foreigners to embark on spur- of-the-moment journeys to China."
China Consulategeneral to Australia in Brisbane,facebook.com,Chinese Consulate-General in Brisbane,https://www.facebook.com/story.php/?story_fbid=512927568161113&id=100083316229573,... China was before the establishment of diplomatic relations between China and Australia. The Chinese Consulate- General is willing to promote practical ...
China Consulategeneral to Australia in Brisbane,facebook.com,Chinese Consulate-General in Brisbane's post,https://www.facebook.com/PRCCGBne/posts/with-measures-expanding-the-visa-free-circle-of-friends-china-has-lowered-the-th/458455493608321/,He expressed willingness to strengthen exchanges with the Chinese Consulate-General and continue to promote China- Australia friendship.
China Consulategeneral to Australia in Brisbane,facebook.com,Consul-General... - Chinese Consulate-General in Brisbane,https://www.facebook.com/story.php/?story_fbid=512925854827951&id=100083316229573,"Consul-General Ruan Zongze visits Torres Shire of Queensland From 16th to 19th September 2024, Chinese Consul-General Dr Ruan Zongze visited Torres..."
China Consulategeneral to Korearepublic in Busan,tiktok.com,Korean Olympic Boat,https://www.tiktok.com/discover/korean-olympic-boat,"The boat I took went from Busan, South Korea to Fukuoka, Japan in less than four hours! ... 2536 Likes, TikTok video from Chinese Consulate ..."
China Consulategeneral to Korearepublic in Busan,tiktok.com,Boats Olympics Korea,https://www.tiktok.com/discover/boats-olympics-korea,The International Olympic Committee has apologised after the South Korea team were introduced as North Korea at the opening ceremony.
China Consulategeneral to Southafrica in Capetown,x.com,China Xinhua News,https://x.com/XHNews/status/1837818603720110163,"The Chinese Consulate-General in Cape Town, the legislative capital of South Africa, hosted a reception Friday to commemorate the 75th ..."
China Consulategeneral to Southafrica in Capetown,instagram.com,"On 2 August, the Chinese Consulate General in Cape ...",https://www.instagram.com/saiia_org/p/C-myxfJuK0c/,"On 2 August, the Chinese Consulate General in Cape Town hosted an event focused on 'Chinese Modernisation: Sharing Opportunities with South Africa and the ..."
China Consulategeneral to Southafrica in Capetown,facebook.com,The Chinese Consulate-General in... - ChinAfrica Magazine,https://www.facebook.com/story.php/?story_fbid=823851623290789&id=100069978761233,"The Chinese Consulate-General in Cape Town, the legislative capital of South Africa, hosted a reception on 20 September to commemorate the 75th..."
China Consulategeneral to Southafrica in Capetown,instagram.com,"SA Institute of Intl Affairs | 📸 On 2 August, the Chinese Consulate ...",https://www.instagram.com/p/C-myxfJuK0c/?locale=zh_CN,"On 2 August, the Chinese Consulate General in Cape Town hosted an event focused on 'Chinese Modernisation: Sharing Opportunities with South Africa and the ..."
China Consulategeneral to Southafrica in Capetown,instagram.com,"You Wenze (2nd L), Chinese consul-general in Cape Town ...",https://www.instagram.com/chinafricamagazine/p/DAK15uSS3ow/,"You Wenze (2nd L), Chinese consul-general in Cape Town, and guests cut a birthday cake during a reception commemorating the 75th anniversary ..."
China Consulategeneral to Southafrica in Capetown,facebook.com,"South African Consulate-General, HKSAR / MSAR, PRC",https://www.facebook.com/sacghkg/,"Official Facebook page of the South African Consulate-General in Hong Kong SAR and Macao SAR, PRC ? 󱙶. Follow. 󰟝. Posts."
China Consulategeneral to Thailand in Chiangmai,facebook.com,Waiving of visa requirements for no ...,https://www.facebook.com/KhaosodEnglish/photos/breaking-waving-of-visa-requirements-for-no-more-than-60-day-visitors-will-be-ex/921002556738920/,Officers from the Provincial Police Region 5 assisted consular officials from the Consulate-General of the People's Republic of China in Chiang ...
China Consulategeneral to Thailand in Chiangmai,facebook.com,China Eastern Airlines,https://www.facebook.com/photo.php?fbid=4239962739411053&id=171799996227368&set=a.518131901594174,... Chiang Mai: chiangmaicenter@visaforchina.org Chinese Consulate-General in ... Embassy or Consulate in Thailand for a Chinese visa and it's free of charge.
China Consulategeneral to Thailand in Chiangmai,facebook.com,Khaosod English | Bangkok,https://www.facebook.com/KhaosodEnglish/?locale=lt_LT,Officers from the Provincial Police Region 5 assisted consular officials from the Consulate-General of the People's Republic of China in Chiang Mai who were ...
China Consulategeneral to Thailand in Chiangmai,facebook.com,Israeli Ambassador to Thailand Orna Sagiv ...,https://www.facebook.com/photo.php?fbid=880047560834420&id=100064875510284&set=a.366191288886719&locale=de_DE,Officers from the Provincial Police Region 5 assisted consular officials from the Consulate-General of the People's Republic of China in Chiang Mai who were ...
China Consulategeneral to Thailand in Chiangmai,facebook.com,U.S. Consulate General Chiang Mai Thailand,https://www.facebook.com/chiangmai.usconsulate/?locale=ms_MY,Welcome to the official Facebook page of U.S. Consulate General Chiang Mai! 󱙶. Ikut.
China Consulategeneral to Thailand in Chiangmai,facebook.com,U.S. Consulate General Chiang Mai Thailand,https://www.facebook.com/chiangmai.usconsulate/?locale=lt_LT,Welcome to the official Facebook page of U.S. Consulate General Chiang Mai! 󱙶. Stebėti.
